"Date","Troops","Police","Experts"
2008-10-31,NA,5,NA
2008-11-30,NA,5,NA
2008-12-31,NA,5,NA
2009-01-31,NA,5,NA
2009-02-28,NA,5,NA
2009-03-31,NA,5,NA
2009-04-30,NA,5,NA
2009-05-31,NA,5,NA
2009-06-30,NA,5,NA
2009-07-31,NA,9,NA
2009-08-31,NA,9,NA
2009-09-30,NA,9,NA
2009-10-31,NA,9,NA
2009-11-30,NA,9,NA
2009-12-31,NA,9,NA
2010-01-31,NA,9,NA
2010-02-28,NA,9,NA
2010-03-31,NA,9,NA
2010-04-30,NA,9,NA
2010-05-31,NA,9,NA
2010-06-30,NA,9,NA
2010-07-31,NA,5,NA
2010-08-31,NA,16,NA
2010-09-30,NA,16,NA
2010-10-31,NA,12,NA
2010-11-30,NA,12,NA
2010-12-31,NA,12,NA
2011-01-31,NA,12,NA
2011-03-31,NA,12,NA
2011-04-30,NA,11,NA
2011-05-31,NA,11,NA
2011-06-30,NA,11,NA
2011-07-31,NA,11,NA
2011-08-31,NA,11,NA
2011-09-30,NA,11,NA
2011-10-31,NA,11,NA
2011-11-30,NA,11,NA
2011-12-31,NA,11,NA
2012-01-31,NA,11,NA
2012-02-28,NA,11,NA
2012-03-31,NA,10,NA
2012-04-30,NA,10,NA
2012-05-31,NA,10,NA
2012-06-30,NA,10,NA
2012-07-31,NA,10,NA
2012-09-30,NA,12,NA
2012-10-31,NA,12,NA
2012-11-30,NA,13,NA
2012-12-31,NA,13,NA
2013-01-31,NA,13,NA
2013-02-28,NA,14,NA
2013-03-31,NA,14,NA
2013-04-30,NA,14,NA
2013-05-31,NA,14,NA
2013-06-30,NA,14,NA
2013-07-31,NA,14,NA
2013-08-31,NA,14,NA
2013-09-30,1,26,NA
2013-10-31,NA,26,NA
2013-11-30,NA,25,NA
2013-12-31,NA,21,NA
2014-01-31,NA,20,NA
2014-02-28,NA,19,NA
