"Date","Troops","Police","Experts"
1990-11-30,6,NA,NA
1990-12-31,6,NA,NA
1991-01-31,6,NA,NA
1991-02-28,6,NA,NA
1991-03-31,6,NA,NA
1991-04-30,6,NA,NA
1991-05-31,6,NA,NA
1991-06-30,6,NA,NA
1991-07-31,10,NA,NA
1991-08-31,10,NA,NA
1991-09-30,14,NA,NA
1991-10-31,14,NA,NA
1991-11-30,15,NA,NA
1993-01-31,NA,NA,14
1993-02-28,NA,NA,6
1993-03-31,NA,NA,6
1993-04-30,NA,NA,6
1993-05-31,NA,NA,6
1993-06-30,NA,NA,5
1993-07-31,NA,NA,5
1993-08-31,NA,NA,5
1993-09-30,NA,NA,5
1993-10-31,NA,NA,5
1993-11-30,NA,NA,30
1993-12-31,NA,NA,30
1994-01-31,NA,NA,27
1994-02-28,NA,NA,27
1994-03-31,NA,NA,28
1994-04-30,NA,NA,27
1994-05-31,NA,NA,27
1994-06-30,NA,NA,27
1994-07-31,NA,NA,2
1994-08-31,NA,40,2
1994-09-30,NA,40,2
1994-10-31,NA,38,2
1994-11-30,NA,38,2
1994-12-31,38,NA,2
1995-01-31,38,NA,2
1995-02-28,38,NA,7
1995-03-31,NA,NA,8
1995-04-30,NA,NA,8
1995-05-31,NA,NA,16
1995-06-30,NA,NA,15
1995-07-31,NA,NA,15
1995-08-31,NA,NA,15
1995-09-30,NA,NA,15
1995-10-31,NA,NA,15
1995-11-30,NA,NA,15
1995-12-31,NA,NA,15
1996-01-31,NA,NA,15
1996-02-29,NA,NA,15
1996-03-31,NA,NA,15
1996-04-30,NA,NA,8
1996-05-31,NA,NA,8
1996-06-30,NA,NA,8
1996-07-31,NA,NA,8
1996-08-31,NA,NA,8
1996-09-30,NA,NA,8
1996-10-31,NA,NA,8
1996-11-30,NA,NA,5
1996-12-31,NA,NA,4
1997-01-31,NA,NA,3
1997-02-28,NA,NA,3
1997-03-31,NA,NA,4
1997-04-30,NA,NA,4
1997-05-31,NA,NA,4
1997-06-30,NA,NA,4
1997-07-31,NA,NA,4
1997-08-31,NA,NA,4
1997-09-30,NA,NA,4
1997-10-31,NA,NA,3
1997-11-30,NA,NA,3
1997-12-31,NA,NA,3
1998-01-31,NA,NA,3
1998-02-28,NA,NA,3
1998-03-31,NA,NA,3
1998-04-30,NA,NA,3
1998-05-31,NA,NA,2
1998-06-30,NA,NA,2
1998-07-31,NA,NA,2
1998-08-31,NA,NA,2
1998-09-30,NA,NA,2
1998-10-31,NA,NA,2
1998-11-30,NA,NA,2
1998-12-31,NA,NA,2
1999-01-31,NA,NA,1
1999-02-28,NA,NA,1
2004-07-31,NA,NA,6
2004-08-31,NA,NA,6
2004-09-30,NA,NA,6
2004-10-31,NA,NA,6
2004-11-30,NA,NA,6
2004-12-31,NA,NA,6
2005-01-31,NA,NA,6
2005-02-28,NA,NA,6
2005-03-31,NA,NA,6
2005-04-30,NA,NA,6
2005-05-31,NA,NA,6
2005-06-30,NA,NA,6
2005-07-31,NA,NA,5
2005-08-31,NA,NA,5
2005-09-30,NA,NA,5
2005-10-31,NA,NA,5
2005-11-30,NA,NA,5
2005-12-31,NA,NA,5
2009-10-31,1,NA,NA
2009-11-30,1,10,NA
2009-12-31,1,NA,NA
2010-01-31,1,NA,NA
2010-02-28,1,NA,NA
2010-03-31,1,NA,NA
2010-04-30,1,NA,NA
2010-05-31,1,NA,NA
2010-06-30,1,NA,NA
2010-07-31,1,NA,NA
2010-08-31,1,NA,NA
2010-09-30,1,NA,NA
2010-10-31,1,NA,NA
2010-11-30,1,NA,NA
