"Date","Troops","Police","Experts"
1994-05-31,NA,11,NA
1994-06-30,NA,11,NA
1994-07-31,NA,11,NA
1994-08-31,NA,11,NA
1994-09-30,NA,11,NA
1994-10-31,NA,11,NA
1994-11-30,NA,10,NA
1994-12-31,NA,10,NA
2000-01-31,NA,29,NA
2000-02-28,NA,33,NA
2000-03-31,NA,33,NA
2000-04-30,NA,50,NA
2000-05-31,NA,50,NA
2000-06-30,NA,50,NA
2000-07-31,NA,55,NA
2000-08-31,NA,49,NA
2000-09-30,NA,48,NA
2000-10-31,NA,47,NA
2000-11-30,NA,46,NA
2000-12-31,NA,29,NA
2001-01-31,NA,44,NA
2001-02-28,NA,44,NA
2001-03-31,NA,60,NA
2001-04-30,NA,35,NA
2001-05-31,NA,50,NA
2001-06-30,NA,34,NA
2001-07-31,NA,50,NA
2001-08-31,NA,34,NA
2001-09-30,NA,34,NA
2001-10-31,NA,34,NA
2001-11-30,NA,36,NA
2001-12-31,NA,34,NA
2002-01-31,NA,34,NA
2002-02-28,NA,33,NA
2002-03-31,NA,73,NA
2002-04-30,NA,73,NA
2002-05-31,NA,73,NA
2002-06-30,NA,73,NA
2002-07-31,NA,73,NA
2002-08-30,NA,42,2
2002-09-30,NA,42,2
2002-10-31,NA,40,2
2002-11-30,NA,40,2
2002-12-31,NA,40,2
2003-01-31,NA,43,4
2003-02-28,NA,42,4
2003-03-30,NA,42,4
2003-04-30,NA,42,4
2003-05-31,NA,42,4
2003-06-30,NA,10,4
2003-07-31,NA,10,4
2003-08-31,NA,10,4
2003-09-30,NA,10,4
2003-10-31,NA,10,4
2003-11-30,NA,10,4
2003-12-31,NA,12,4
2004-01-31,NA,12,4
2004-02-28,NA,12,4
2004-03-31,NA,12,4
2004-04-30,NA,23,4
2004-05-31,NA,21,4
2004-06-30,NA,21,5
2004-07-31,NA,21,6
2004-08-31,NA,21,6
2004-09-30,129,21,6
2004-10-31,442,19,6
2004-11-30,751,21,6
2004-12-31,751,21,6
2005-01-31,751,21,6
2005-02-28,751,21,5
2005-03-31,750,22,5
2005-04-30,750,22,5
2005-05-31,750,20,5
2005-06-30,754,20,5
2005-07-31,754,21,5
2005-08-31,755,20,5
2005-09-30,957,34,5
2005-10-31,961,35,5
2005-11-30,961,30,5
2005-12-31,961,40,11
2006-01-31,961,41,11
2006-02-28,961,41,11
2006-03-31,961,41,11
2006-04-30,961,29,11
2006-05-31,961,28,11
2006-06-30,962,39,10
2006-07-31,961,39,10
2006-08-31,961,35,10
2006-09-30,961,22,12
2006-10-31,959,35,10
2006-11-30,959,35,10
2006-12-31,958,80,4
2007-01-31,957,69,7
2007-02-28,958,78,7
2007-03-31,956,97,7
2007-04-30,954,96,7
2007-05-31,953,88,7
2007-06-30,960,89,9
2007-07-31,960,89,9
2007-08-31,961,107,9
2007-09-30,960,131,13
2007-10-31,960,131,13
2007-11-30,960,131,13
2007-12-31,960,130,13
2008-01-31,960,101,16
2008-02-28,960,118,16
2008-03-31,960,100,13
2008-04-30,960,92,13
2008-05-31,960,89,14
2008-06-30,959,88,14
2008-07-31,959,110,14
2008-08-31,961,116,11
2008-09-30,959,95,13
2008-10-31,959,94,14
2008-11-30,958,94,14
2008-12-31,959,94,14
2009-01-31,959,94,6
2009-02-28,959,87,14
2009-03-31,957,78,14
2009-04-30,958,66,14
2009-05-31,958,68,13
2009-06-30,958,68,14
2009-07-31,959,67,14
2009-08-31,959,65,14
2009-09-30,959,69,11
2009-10-31,959,75,13
2009-11-30,959,73,13
2009-12-31,959,98,13
2010-01-31,959,77,13
2010-02-28,959,88,5
2010-03-31,966,89,5
2010-04-30,964,96,11
2010-05-31,1030,94,13
2010-06-30,1034,94,12
2010-07-31,1035,94,10
2010-08-31,1035,103,12
2010-09-30,1032,112,13
2010-10-31,1033,80,8
2010-11-30,1033,104,15
2010-12-31,1109,92,14
2011-01-31,1109,101,14
2011-02-28,1111,100,14
2011-03-31,1110,94,8
2011-04-30,1110,84,14
2011-05-31,1110,78,11
2011-06-30,1111,88,11
2011-07-31,1109,72,9
2011-08-31,1111,88,11
2011-09-30,1111,78,10
2011-10-31,1109,77,9
2011-11-30,1108,88,9
2011-12-31,1111,86,11
2012-01-31,1110,93,11
2012-02-28,1012,81,11
2012-03-31,1012,94,11
2012-04-30,1012,94,7
2012-05-31,1013,83,8
2012-06-30,1013,77,14
2012-07-31,1013,74,14
2012-08-31,1013,101,12
2012-09-30,1013,92,10
2012-10-31,1013,92,11
2012-11-30,1013,43,14
2012-12-31,1017,42,13
2013-01-31,1013,45,13
2013-02-28,1014,45,13
2013-03-31,1014,45,14
2013-04-30,1013,43,14
2013-05-31,1013,43,10
2013-06-30,1013,45,10
2013-07-31,1015,45,10
2013-08-31,1012,35,9
2013-09-30,1013,35,14
2013-10-31,1013,39,14
2013-11-30,1013,35,12
2013-12-31,1013,43,12
2014-01-31,1013,45,12
2014-02-28,1013,39,12
